Scenario - demo_task
Logfile written - synthetic

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration

1	0	Response	1	0	0	1	
1	0	Response	1	1500	1500	1	
1	0	Response	2	3000	3000	1	
1	1	Picture	iti	28363	0	1	30000
1	2	Pulse	99	58363	1	1	
1	2	Picture	cue	58478	0	1	5000
1	2	Picture	probe	63598	0	1	20000
1	2	Response	3	70291	6693	1	
1	3	Picture	iti	103264	0	1	30000
1	4	Pulse	99	133264	1	1	
1	4	Picture	cue	133459	0	1	5000
1	4	Picture	probe	138655	0	1	20000
1	5	Picture	iti	193249	0	1	30000
1	6	Pulse	99	223249	1	1	
1	6	Picture	cue	223307	0	1	5000
1	6	Picture	probe	228458	0	1	20000
1	6	Response	5	234182	5724	1	
1	7	Picture	iti	255384	0	1	30000
1	8	Pulse	99	285384	1	1	
1	8	Picture	cue	285550	0	1	5000
1	8	Picture	probe	290688	0	1	20000
1	9	Picture	iti	343179	0	1	30000
1	10	Picture	cue	373287	0	1	5000
1	10	Picture	probe	378472	0	1	20000
1	11	Picture	iti	425736	0	1	30000
1	12	Picture	cue	455862	0	1	5000
1	12	Picture	probe	461003	0	1	20000
1	12	Response	6	467655	6652	1	
1	13	Picture	iti	497350	0	1	30000
1	14	Picture	cue	527456	0	1	5000
1	14	Picture	probe	532598	0	1	20000
1	14	Response	3	540354	7756	1	
1	15	Picture	iti	566645	0	1	30000
1	16	Picture	cue	596830	0	1	5000
1	16	Picture	probe	601905	0	1	20000
1	16	Response	7	606976	5071	1	
1	17	Picture	iti	641007	0	1	30000
1	18	Pulse	99	671007	1	1	
1	18	Picture	cue	671178	0	1	5000
1	18	Picture	probe	676226	0	1	20000
1	18	Response	7	685224	8998	1	
1	19	Picture	iti	721787	0	1	30000
1	20	Picture	cue	751916	0	1	5000
1	20	Picture	probe	757016	0	1	20000
1	20	Response	6	764827	7811	1	
1	21	Picture	iti	798603	0	1	30000
1	22	Picture	cue	828696	0	1	5000
1	22	Picture	probe	833836	0	1	20000
1	22	Response	5	840625	6789	1	
